code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change
68270,2021-09-15,260272.12,262805.09,274785.48,-1,0,0,-1,-1,0,0,1,1
68270,2021-09-16,1.0,-1.0,-1.0,0,0,0,-1,-1,0,-1,1,-1
68270,2021-09-17,1.0,-1.0,1.0,-1,0,1,-1,-1,0,-1,1,1
68270,2021-09-23,1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,1,1
68270,2021-09-24,1.0,-1.0,1.0,0,1,1,1,1,-1,-1,1,-1
68270,2021-09-27,-1.0,1.0,-1.0,0,-1,-1,1,1,-1,-1,1,-1
68270,2021-09-28,-1.0,1.0,-1.0,0,-1,-1,1,1,-1,-1,1,-1
68270,2021-09-29,-1.0,1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,1,-1
68270,2021-09-30,-1.0,1.0,1.0,0,0,0,-1,-1,-1,-1,1,-1
68270,2021-10-01,1.0,-1.0,1.0,-1,0,0,-1,-1,-1,-1,1,-1
